,Column name,Primary key,Data type,Not NULL,Comment
1,SEQNO,Yes,INTEGER,Yes,A unique ID number for the line.
2,EXCHRATE,No,FLOAT(53),No,The exchange rate applicable to the line.
3,DISCOUNT,No,FLOAT(53),No,The percentage discount on the line.
4,UNITPRICE_INCTAX,No,FLOAT(53),No,The unit price inclusive of tax.
5,FX_PRICE,No,FLOAT(53),No,
6,RETENTION_RATE,No,FLOAT(53),No,"The retention rate on the line, if applicable."
7,RETENTION_AMOUNT,No,FLOAT(53),No,"The retention amount on the line, if applicable."
8,OVERHEAD,No,FLOAT(53),No,"The overhead amount on the line, if applicable."
9,QUANTITY,No,FLOAT(53),No,The quantity on the line.
10,UNITPRICE,No,FLOAT(53),No,The unit price of the item on the line.
11,UNITCOST,No,FLOAT(53),No,The unit cost of the item on the line.
12,ENDDATE,No,DATETIME,No,The end date on the line (applies to timesheets).
13,TRANSDATE,No,DATETIME,No,"For timesheets, this field identifies the start date; otherwise it contains the transaction date on the line."
14,SOURCE_SEQNO,No,INTEGER,Yes,"If the line originated from a job quote, this field contains the ID of the original quote line (from JOBCOST_LINES)."
15,JOBNO,No,INTEGER,No,The ID number of the job that this line is on.
16,MASTER_JOBNO,No,INTEGER,No,"If the line belongs to a sub-job, this field contains the ID of the master job."
17,TRANSTYPE,No,VARCHAR(1),No,The transaction type. Will be one of:T = TimeC = Cost
18,LINE_STATUS,No,VARCHAR(30),No,The line's status. Will be one of:R = Ready to invoiceW = WriteoffI = InvoicedX = CancelledA = AssetC = Committed Stock
19,STOCKCODE,No,VARCHAR(23),No,The stockcode of the stock item on this line.
20,DESCRIPTION,No,VARCHAR(60),No,The description of the stock item on this line.
21,COST_TYPE,No,INTEGER,No,The ID number of the Cost Type on the line (from JOB_COSTTYPES).
22,COST_GROUP,No,INTEGER,No,The ID number of the Cost Group on the line (from JOB_COSTGROUPS).
23,LINE_SOURCE,No,VARCHAR(10),No,Where the line was sourced from. Will be one of:P = PurchaseQ = Quote
24,SOURCE_ID,No,INTEGER,No,"If the line originated from a job quote, this field contains the ID of the original quote line (from JOBCOST_LINES)."
25,NARRATIVE,No,VARCHAR(1),No,
26,STAFFNO,No,INTEGER,No,ID number of the staff member on the line.
27,STARTTIME,No,VARCHAR(15),No,Start time (only applies to timesheets).
28,ENDTIME,No,VARCHAR(15),No,End Time (only applies to timesheets).
29,FROMLOC,No,INTEGER,No,The location origin for stock movements.
30,LOCATION,No,INTEGER,No,The location that the item moves to.
31,GLCODE,No,INTEGER,No,The GL account code of the P&L revenue account.
32,BRANCHNO,No,INTEGER,No,The ID number of the branch that the line belongs to (from BRANCHES).
33,SUBCODE,No,INTEGER,No,The subcode of the P&L revenue account.
34,LINESORT,No,INTEGER,No,
35,TAXNO,No,INTEGER,No,The ID number of the tax rate on the line (from TAX_RATES).
36,ANALYSIS,No,INTEGER,No,
37,CURRENCYNO,No,INTEGER,No,The ID number of the currency on the line (from CURRENCIES).
38,BILLING_ID,No,INTEGER,No,"The Billing ID, if one exists."
