,Column name,Primary key,Data type,Not NULL,Comment
1,ACCNO,Yes,INTEGER,Yes,The unique ID number for the Creditor account.
2,NAME,No,VARCHAR(60),No,The Creditor's name.
3,ADDRESS1,No,VARCHAR(30),No,Postal address line 1.
4,ADDRESS2,No,VARCHAR(30),No,Postal address line 2.
5,ADDRESS3,No,VARCHAR(30),No,Postal address line 3.
6,ADDRESS4,No,VARCHAR(30),No,Postal address line 4.
7,ADDRESS5,No,VARCHAR(30),No,Postal address line 5. This line is only available on the Creditor Account Details screen if the Additional Postal Address Row profile setting is enabled.
8,PHONE,No,VARCHAR(30),No,The Creditor's phone number.
9,FAX,No,VARCHAR(30),No,The Creditor's fax number.
10,EMAIL,No,VARCHAR(60),No,The Creditor's email address.
11,CREDLIMIT,No,FLOAT(53),No,The credit limit for the Creditor account.
12,ACCGROUP,No,INTEGER,No,The Creditor's Primary Group.
13,LASTMONTH,No,FLOAT(53),No,Turnover for the last month.
14,LASTYEAR,No,FLOAT(53),No,Turnover for the last year
15,AGEDBAL0,No,FLOAT(53),No,Aged Balance for the current month.
16,AGEDBAL1,No,FLOAT(53),No,Aged Balance for the previous month.
17,AGEDBAL2,No,FLOAT(53),No,Aged Balance for two months back.
18,AGEDBAL3,No,FLOAT(53),No,Aged Balance for three months back.
19,BALANCE,No,AS,No,The total of all aged balances.
20,CREDITSTATUS,No,INTEGER,No,Credit terms for the Creditor.
21,OPENITEM,No,CHAR(1),No,This field contains 'Y' if this is not a balance brought forward account.
22,DELADDR1,No,VARCHAR(30),No,Delivery address line 1.
23,DELADDR2,No,VARCHAR(30),No,Delivery address line 2.
24,DELADDR3,No,VARCHAR(30),No,Delivery address line 3.
25,DELADDR4,No,VARCHAR(30),No,Delivery address line 4.
26,DELADDR5,No,VARCHAR(30),No,Delivery address line 5.
27,DELADDR6,No,VARCHAR(30),No,Delivery address line 6.
28,SALESNO,No,INTEGER,No,ID number of the staff member assigned to the Creditor account.
29,DISCOUNTLEVEL,No,INTEGER,No,The Creditor's discount level - this is only populated via EXO APIs.
30,INVOICETYPE,No,INTEGER,No,"This field only applies to Australian databases where M-Powered Invoices are enabled. If set to 1, search results on the Transactions tab of the Creditor Account Details window will only include accounts with the M-Powered invoice type."
31,AUTOFREIGHT,No,FLOAT(53),No,Not used.
