,Column name,Primary key,Data type,Not NULL,Comment
1,SEQNO,Yes,INTEGER,Yes,No longer used.
2,SOFTWARE_VERSION,No,INTEGER,No,No longer used.
3,DATAVERSION,No,INTEGER,No,No longer used.
4,QUOTE_TERMS,No,VARCHAR(1000),No,No longer used.
5,STOCKLOC,No,INTEGER,No,No longer used.
6,JOBCAT,No,INTEGER,No,No longer used.
7,SUBSADDUP,No,VARCHAR(1),No,No longer used.
8,JOBSTAT,No,VARCHAR(1),No,No longer used.
9,JOBTYPE,No,INTEGER,No,No longer used.
10,MOVE_STOCK,No,CHAR(1),Yes,No longer used.
11,COSTGLSQL,No,VARCHAR(500),No,No longer used.
12,SALESGLSQL,No,VARCHAR(500),No,No longer used.
13,DEFDAYS,No,INTEGER,No,No longer used.
14,DEFHOURS,No,INTEGER,No,No longer used.
15,OURREF,No,VARCHAR(30),No,No longer used.
16,PRINTDESC,No,VARCHAR(1),No,No longer used.
17,OPTION_1,No,VARCHAR(1),No,No longer used.
18,OPTION_2,No,VARCHAR(1),No,No longer used.
19,OPTION_3,No,VARCHAR(1),No,No longer used.
20,OPTION_4,No,VARCHAR(1),No,No longer used.
21,OPTION_5,No,VARCHAR(1),No,No longer used.
22,OPTION_6,No,VARCHAR(1),No,No longer used.
23,OPTION_7,No,VARCHAR(1),No,No longer used.
24,OPTION_8,No,VARCHAR(1),No,No longer used.
25,OPTION_9,No,VARCHAR(1),No,No longer used.
26,OPTION_10,No,VARCHAR(1),No,No longer used.
27,JOBNO_PROMPT,No,VARCHAR(1),No,No longer used.
28,SCHEDULER,No,VARCHAR(1),No,No longer used.
29,TIMESELECTSQL,No,VARCHAR(255),No,No longer used.
30,COSTSELECTSQL,No,VARCHAR(255),No,No longer used.
31,STOCKCOST,No,INTEGER,No,No longer used.
32,GLACC_TO_USE,No,INTEGER,No,No longer used.
33,WORKSHEETTYPE,No,INTEGER,No,No longer used.
34,SHOWMAIN,No,VARCHAR(1),No,No longer used.
35,WIPNOTSOH,No,VARCHAR(1),No,No longer used.
36,DEFNONSTOCKCODE,No,VARCHAR(23),No,No longer used.
37,USE_SALES_ORD_NO,No,CHAR(1),Yes,No longer used.
38,QUOTECOST,No,INTEGER,Yes,No longer used.
39,DEFFOLLOWUPDAYS,No,INTEGER,Yes,No longer used.
