,Column name,Primary key,Data type,Not NULL,Comment
1,SEQNO,Yes,INTEGER,Yes,See STOCK_TRANS.
2,POSTTIME,No,DATETIME,No,See STOCK_TRANS.
3,TRANSDATE,No,DATETIME,No,See STOCK_TRANS.
4,STOCKCODE,No,VARCHAR(23),No,See STOCK_TRANS.
5,TRANSTYPE,No,INTEGER,No,See STOCK_TRANS.
6,REF1,No,VARCHAR(30),No,See STOCK_TRANS.
7,REF2,No,VARCHAR(30),No,See STOCK_TRANS.
8,QUANTITY,No,FLOAT(53),No,See STOCK_TRANS.
9,UNITPRICE,No,FLOAT(53),No,See STOCK_TRANS.
10,LOCATION,No,INTEGER,No,See STOCK_TRANS.
11,TOLOCATION,No,INTEGER,No,See STOCK_TRANS.
12,AGE,No,INTEGER,No,See STOCK_TRANS.
13,FROM_LEDGER,No,CHAR(1),No,See STOCK_TRANS.
14,FROM_HDR,No,INTEGER,No,See STOCK_TRANS.
15,BATCHCODE,No,VARCHAR(20),No,See STOCK_TRANS.
16,ACCNO,No,INTEGER,No,See STOCK_TRANS.
17,LINE_SEQNO,No,INTEGER,No,See STOCK_TRANS.
18,JOBNO,No,INTEGER,No,See STOCK_TRANS.
19,RECEIPT_NO,No,INTEGER,No,See STOCK_TRANS.
20,GLPOSTED,No,CHAR(1),No,See STOCK_TRANS.
21,GLACC,No,INTEGER,No,See STOCK_TRANS.
22,GLSUBACC,No,INTEGER,No,See STOCK_TRANS.
23,GLBRANCH,No,INTEGER,No,See STOCK_TRANS.
24,UNITCOST,No,FLOAT(53),No,See STOCK_TRANS.
25,UPDATEITEM_FLAG,No,CHAR(1),No,See STOCK_TRANS.
26,INC_FIFO_STOCKTAKE,No,CHAR(1),No,See STOCK_TRANS.
27,REVERSED,No,CHAR(1),No,See STOCK_TRANS.
28,ON_COSTS,No,FLOAT(53),No,See STOCK_TRANS.
29,POST_LOOKUP_TO_GL,No,CHAR(1),No,See STOCK_TRANS.
30,EXPIRY_DATE,No,DATETIME,No,See STOCK_TRANS.
31,GLBATCHNO,No,INTEGER,No,See STOCK_TRANS.
32,KITSEQNO,No,INTEGER,No,See STOCK_TRANS.
33,KITCODE,No,VARCHAR(23),No,See STOCK_TRANS.
34,PLU,No,VARCHAR(23),No,See STOCK_TRANS.
35,POST_TO_GL,No,CHAR(1),No,See STOCK_TRANS.
36,SESSION_ID,No,INTEGER,No,See STOCK_TRANS.
37,PREV_QUANTITY,No,FLOAT(53),No,See STOCK_TRANS.
38,PREV_AVECOST,No,FLOAT(53),No,See STOCK_TRANS.
39,ALT_QUANTITY,No,FLOAT(53),No,See STOCK_TRANS.
40,ALT_AVECOST,No,FLOAT(53),No,See STOCK_TRANS.
41,ALT_SEQNO,No,INTEGER,No,See STOCK_TRANS.
